"X","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","created","modified","references","source","majorGroup","tplID","synonims","edibility_classification"
657899,"wfo-0000661872","urn:lsid:ipni.org:names:292636-1","911190","Echinopepon pubescens","species","wfo-4000012943","Rose","Cucurbitaceae","","","","Echinopepon","","pubescens",NA,"species","Valid","Contr. U.S. Natl. Herb. v. 118.","Accepted",NA,"wfo-0000661652",NA,"Source in seed data: cmp Updated scientificnameAuthorship from (Cogn.) Rose to Rose, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2783199 >The Plant List v.1.1.","2022-04-16","2024-06-04","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2783199","['Micrampelis pubescens' 'Echinocystis floribunda'
 'Echinocystis pubescens' 'Echinopepon floribundus' 'Elaterium pubescens'
 'Micrampelis floribunda']","unknown"
1464893,"wfo-1000012285","100398786","","Plagiochila hookeriana","species","wfo-4000029979","Lindenb.","Plagiochilaceae","","","","Plagiochila","","hookeriana",NA,"species","Valid","Sp. Hepat. (Lindenberg) (fasc. 2â4): 81. 1840.","Accepted",NA,"",NA,"","2022-08-04","2024-12-06","https://www.bryonames.org/","The Bryophyte TEN","Marchantiophyta","","['Jungermannia duricaulis' 'Plagiochila duricaulis' 'Plagiochila robusta'
 'Plagiochila arguta' 'Plagiochila leguillovii' 'Plagiochila skottsbergii'
 'Plagiochila valdiviae' 'Plagiochila longissima'
 'Plagiochila robusta f. arguta']","unknown"
254200,"wfo-0000256782","urn:lsid:ipni.org:names:668556-1","140159-wcs","Oncosperma platyphyllum","species","wfo-4000026856","Becc.","Arecaceae","","","","Oncosperma","","platyphyllum",NA,"species","Valid","Philipp. J. Sci., C 4: 609 (1909)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Philipp. J. Sci., C 4: 609 1909 to Philipp. J. Sci., C 4: 609 (1909), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/rec","2022-04-16","2024-06-04","","The Arecaceae TEN","A","kew-140159","[]","unknown"
420549,"wfo-0000423561","urn:lsid:ipni.org:names:868749-1","597064","Viola najadum","species","wfo-4000040312","Wein","Violaceae","","","","Viola","","najadum",NA,"species","Valid","Repert. Spec. Nov. Regni Veg. 13: 17 (1913)","Accepted",NA,"",NA,"Source in seed data: ksu Update namepublishedIn from Repert. Spec. Nov. Regni Veg. 13: 17, hybr. 1913 to Repert. Spec. Nov. Regni Veg. 13: 17 (1913), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.","2022-04-16","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:868749-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2459580","[]","unknown"
310737,"wfo-0000313379","urn:lsid:ipni.org:names:658401-1","194466","Spiranthes porrifolia","species","wfo-4000036112","Lindl.","Orchidaceae","","","","Spiranthes","","porrifolia",NA,"species","Valid","Gen. Sp. Orchid. Pl. : 467 (1840)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Gen. Sp. Orchid. Pl. 467 1840 to Gen. Sp. Orchid. Pl. : 467 (1840), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/recor","2022-04-16","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:658401-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-194466","['Ibidium porrifolium' 'Orchiastrum porrifolium'
 'Spiranthes romanzoffiana var. porrifolia' 'Gyrostachys porrifolia']","unknown"
25730,"wfo-0000025163","urn:lsid:ipni.org:names:77083874-1","GCC-9C2E5A35-3071-4F06-BD96-D05EA60AFE62","Inuloides tomentosa","species","wfo-4000019110","(L.f.) B.Nord.","Asteraceae","Asteroideae","Calenduleae","","Inuloides","","tomentosa",NA,"species","Valid","Compositae Newslett. 44: 44 (2006)","Accepted",NA,"",NA,"Source in seed data: gcc Update namepublishedIn from Compositae Newslett. 44: 44. 2006 [20 Feb 2006] to Compositae Newslett. 44: 44 (2006), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantli","2022-04-16","2024-06-04","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1109360","The Asteraceaae TEN","A","gcc-124305","['Calendula tomentosa' 'Tripteris tomentosa' 'Osteospermum tomentosum'
 'Calendula tomentosa' 'Osteospermum cuspidatum']","unknown"
946808,"wfo-0000951451","urn:lsid:ipni.org:names:323040-2","69610","Epidendrum stamfordianum","species","wfo-4000013590","Bateman","Orchidaceae","","","","Epidendrum","","stamfordianum",NA,"species","Valid","Orchid. Mexico Guatemala : t. 11 (1838)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Orchid. Mexico Guatemala t. 11 1838 to Orchid. Mexico Guatemala : t. 11 (1838), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/","2022-04-16","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:323040-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-69610","['Epidendrum stamfordianum var. parviflorum'
 'Epidendrum stamfordianum var. wallacei'
 'Epidendrum stamfordianum var. lawrenceanum'
 'Epidendrum stamfordianum var. pictum' 'Epidendrum basilare'
 'Epidendrum cycnostachys' 'Epidendrum cycnostalix'
 'Epidendrum stamfordianum var. pictum']","unknown"
1275995,"wfo-0001284647","urn:lsid:ipni.org:names:324568-2","50324602","Spigelia andersonii","species","wfo-4000036084","Fern.Casas","Loganiaceae","","","","Spigelia","","andersonii",NA,"species","Valid","Fontqueria  55: 51 (2002)","Accepted",NA,"",NA,"Source in seed data: tro Update namepublishedIn from Fontqueria 55(9): 51â52, t. 5 2002 to Fontqueria 55: 51 (2002), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/","2022-04-16","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324568-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-50324602","[]","unknown"
688491,"wfo-0000692560","urn:lsid:ipni.org:names:106085-2","942196","Froelichia arizonica","species","wfo-4000015072","Thornber ex Standl.","Amaranthaceae","","","","Froelichia","","arizonica",NA,"species","Valid","N. Amer. Fl. 21: 128 (1917)","Accepted",NA,"",NA,"Source in seed data: cmp Update namepublishedIn from N. Amer. Fl. 21: 128 1917 to N. Amer. Fl. 21: 128 (1917), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2814","2022-04-16","2024-06-04","","The Caryophyllales TEN -The Caryophyllales Network","A","kew-2814730","[]","unknown"
861425,"wfo-0000865880","urn:lsid:ipni.org:names:400111-1","410793","Elymandra gossweileri","species","wfo-4000013264","(Stapf) Clayton","Poaceae","","","","Elymandra","","gossweileri",NA,"species","Valid","Kew Bull. 20: 288 (1966)","Accepted",NA,"wfo-0000890942",NA,"Source in seed data: wcs Update namepublishedIn from Kew Bull. 20(2): 288. 1966 [9 Sep 1966] to Kew Bull. 20: 288 (1966), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/reco","2022-04-16","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:400111-1","The Poaceae TEN","A","kew-410793","['Elymandra monostachya' 'Pleiadelphia gossweileri' 'Themeda gossweileri']","unknown"
